score,review
7,어렸을적 티비에서 정말 많이 봤던 전쟁영화...옛날 생각나네..ㅋㅋ 
10,이영화를 계속보게 되는 이유-그레고리 펙의 아름다운 절정의 미모를 감상할수 있다. 
9,"[아카데미]1962년34회 특수효과1개부문수상작.웨스트사이드에밀려(10개부문수상했지만그정도로명작아님)한개부문만 수상.당대배우들 그레고리펙,안쏘니퀸,데이빗니븐 전부아카데미상받은배우들이다.오래된영화로신경안쓰다 보고나서 ..."
10,"훌륭한 시나리오, 액션, 로맨스, 매력적인 연기자들, 시종일관 집중도를 유지시켜주는  고전 걸작 전쟁영화. "
9,중간에약간지루하긴했지만 마지막 요새폭파씬은 통쾌! 밑에 노인특공대란말 넘웃김ㅋㅋㅋㅋ 그나저나그레고리 펙♥ 지금봐도 참 멋있다. 
9,"진정 재밌네요. 정말 요즘 나온 얙션,  스릴러 영화들과 비교할수 없는 긴장감과 스릴이 있음. 앤서니퀸 그레고리펙 펄펙. 특히 앤서니퀸 최곱니다ㅠ  최고 최고 "
10,"완벽하고 탄탄한 스토리, 정말 명작 중 명작 "
8,TV-80년대.. 어린시절 할아버지 방에서 토요 명화로 몰래.. 너무나 재미있게 보았던 영화.. 그때는 몰랐지만.. 기라성 같은 배우들이 나왔구나.. CG도 특수효과도 미약했던 시절.. 제작진의 노고가 느껴지는.. ...
10,이제사 봤지만 듣던대로 명작이네요 와우!제작진과 배우들의 노고에 경의를 표합니다 
10,어릴적 보고 얼마전 ebs에서 또봤어요. 여전히 재미있더군요. 
10,오래된 영화지만 이렇게 실감나다니....! 참으로 명작이로고... 
9,"당대의 유명 배우들을 보고, 군인의 의지를 배우고 "
10,tv에서 해줘서 봤는데 개꿀잼! 
10,시간이 흘러도 명작은 잊혀지지 않는다 
10,안소니 퀸과 그레고리 펙을 보면서 전쟁과 인생의 무상과 유상을 통시적으로 체감합니다. 
9,옛날영화의 포스가 느껴진다... 
8,재밋다 
10,멋쥔영화^^* 
10,^_____^*굿임둥.. 
10,어렸을때 보고 지금 다시봐도 명작이라는 말이 어울리는 영화 
10,깊이있는 밀리터리 블록버스터 
10,"잼난다,  그외에 다른말이 필요없음 "
7,'아라비아 로렌스'보단 훨씬 낫다 
10,걸작 중의 걸작!!  긴영환데 시간가는줄 모르고 아슬아슬..아런영화를 이제야 봤네요~ 
10,
7,고전이지만 세월에 흘러도 볼만하다 
10,"60년대 영화라니 놀랍네요. 지금 봐도 충분히 즐길 수 있는 전쟁 대작 입니다. 여기에 과거의 명배우 그레고리 펙, 데이빗 니븐, 안소니 퀸, 안소니 퀘일까지 한꺼번에 볼 수 있습니다. "
10,
7,막판에 시원한 사이다를 준다 
9,다소 지루함도 있으나 시종일관 유지되는 긴장감과 후반부 요새폭파씬이 절정. 
8,"배우들도 다 좋은데, 독일군들이 왜 미군 장갑차를 몰고 있는지... 당시 2차세계대전 장갑차 재현이 좀 안된듯... "
10,"전쟁 명작 중의 한편... 골든글로브 최우수 작품상, 아카데미 작품상 노미네이트 등등 전쟁영화가 작품상 받는게 흔한일이 아닌데 참 잘된 작품이다 "
9,스케일 흠잡을때 없으며 명배우들 연기에 파란눈에 아름답고 매력적인 안나 
10,콜오브듀티가 생각나네요 
8,밀러하사가 말로니대위한테 깐죽거리며 대드는거 볼 때 날려버리고 싶더만. 
8,"어릴적 주말의 명화에서 가슴뛰며 보던 영화, 요새폭파할땐 내가 미션수행한듯 쾌감. "
8,실화는 아니었지만 나름 재미있었다. 
8,60년대 작품으로 믿기 어려운 스펙타클을 보여준다 
8,오늘 EBS에서 봤는데 옛날영화지만 정말 재밌었다... 
9,1960년대의 영화로서 스릴 넘치고 스토리 구성이 탄탄한 전쟁 영화 
10,명작 
8,고전 대작 !! 
7,리메이크 하면 좋을듯.ㅎㅎ 오래돼서그런지 몰라도 좀 지루함.ㅋ 
9,very good ! 
10,진짜 대작~  작품성 최고 재미도 최고! 
10,세상에~ 죽음이다 .이토록 멋진 전쟁물이라니 
10,어릴적 아버지의 추천으로 함께 본 영화... 재밌었다. 
10,옛날 영화 지만 재밌게 봤어요 
7,이 정도믄 뭐 됐지... 
7,good 
7,유머날리다가 심각해지는 아저씨가 가장 인상적이었다..ㅎ 
8,고전이지만 어이없는 웃음을 주는 묘하게 재미도 있는 전쟁영화 
9,너무 쉽게 요새를 파괴하는 점(긴장감 X)이 아쉽다.특수효과 굿 
9,정말 옛날 영화네.그래두 재미는 있음. 
7,쓸쓸한 승리자들. 
10,옛날 영화지만 재밌는 것은 부인못함. 
9,60년대 블럭버스터 영화. 전쟁보다 전쟁 스릴러라는게 맞을듯 
9,어릴적.. 티비에서 방영하면 인기 최고! 
10,이 영화를 안보고 전쟁영화 좀 봤다고 할수 없을것. 그리고 젤 예쁜여자 왜 죽였어... 담부턴 그러지마... 예전 쎈 아저씨들 마초물들에 대한 향수 반가움. 
1,"다시보면 개그영화. 기관총 한번 쏘면 독일군은 한부대가 쓰러짐. 서서 죽고 뛰다 죽고 앉아 죽고 옆에서 죽으니 같이 죽고 영문도 모르고 죽고. . .초딩과 싸우는 대딩. 당대 명배우, 큰스케일, 제작비 불구 왜 노미..."
8,시간은 급물살을 타고... 재미있으니깐~ 
10,헉; 이렇게 잼있는 영화를이제야 발견하다니?50년된영화치곤특수효과도짱이고멋지다! 
6,"부상자, 배신자, 연합군, 독일군, 모두 전쟁의 희생자들. "
10,"2차세계대전 영화 중 명작 of 명작. 그레고리 펙, 안소니 퀸 등 배우도 정말 대단하지만 전체적인 스토리라던지 영화에 전반적인 부분이 그냥 이 영화는 최고란 말 밖에 생각이 안난다. "
10,60년대영화 치고는 엄청재미잇다~~~ 
9,61년도 영화지만 대작이다. cg도괜찮고 액션도 괜찮다. 
6,나름 볼만한 작품 뒷부분이 좀 지루했던 
8,어릴적 재미있게 본 전쟁 영화! 이젠 별로다... 
8,'액자'가 '기차'처럼 연결되어 있는 느낌. 
9,60년대라..액션이 별로네.. 스토리는 굿이당 
6,지금보면 정말 빵빵한 캐스팅 몇번본 기억이 ~~~~~~~~ 
6,미국이 이긴 전쟁이야기 식상하다 
5,긴장감도 비장함도 느낄 수 없었다. I can't swim... 
5,노인 특공대이다보니 행동은 꿈뜨고 말은 많다. 손자들이 해야할 병정놀이.. 
6,60년대 작품이란걸 고려한다면 높은 점수를 받을만 하다. 
5,지루하고 졸린 전쟁영화 중의 하나임. 
