score,review
10,뷔페미니스트 학살자 빛아인. 당신을 응원합니다. 
10,영화 ㅈ꿀잼임 평점은 안보는게날듯 왜냐하면좀있음여초에서좌표찍고 평테오니까 
10,유아인때문에 안봐? 애초에 이창동 감독님영화 보기는했니? 
8,"배우들의 논란들을 별개로, 연출과 연기는 훌륭하다. 미스터리한 상황들을 통해 하고싶은 이야기를 결국 끝까지 하고야마는 이창동 감독의 연출력이 가장 크게 빛을 발하며, 지금의 사회가 청춘을 대하는 태도가 영화에서 잘 ..."
1,나는 사실 모르겠다 이영화가 뭘 말하자고자 하는지를.. 
4,내 인생의 두시간이 버닝 되었다 
10,감독 이창동 만으로도 만점 
10,어느 누군가가 ... 어떤 한 사람이... 한 사람에게 미치는 영향이란.. 이창동 미쳤다.. 
1,정말 편안하게 잘잤습니다 
2,유아인 뛰는 것만 보고 나온듯.나도 극장 밖을 뛰쳐나가고 싶었음. 
1,영화가 뭘 말하고 싶은건지도 모르겠다 
1,노젬입니다 진심입니다 
1,영화보구 기분 더러워짐 짜증나 
1,아니 진짜 솔직하게 칸을 다 떠나서 이게재미있었어? 나만 그렇게느끼는건가? 
1,이 영화를 재미지다고 극찬하는 사람은 예술적인척하고 싶은 가짜 
5,복선 파악할려다가 허무하게 끝난 영화 
3,한숨만 나온 영화... 다들 어케봤나싶네 
10,또 한번나온 이창동의 걸작.유아인과 스티븐연 그리고 전종서의 연기력이 말그대로 '버 닝' 했다. 
1,..재미를 찾을거면 보지 마세요 
2,그냥개노잼 돈아까움.. 
2,1. 긴장감만 가득하고 복선에대한 의미나 회수는 허무2. 뻔한결말에 다분히 추측가능한 대사와 상황을 보여주는데 다만 연출은 이색적이라 독특한 느낌은 줌3. 여러번 곱씹으면서 해석하는 평론가들은 모를까 딱 한번보고 극...
1,알바가 존재하긴하는구나 ..하...진짜 내 시간 내 돈 .. 영화보고나와서 화가나보긴 처음이다. 아직도 분노가 가라앉지않는다 
2,나만재미없나.. 유아인때문에 기대하고 봤는데 연기는 좋았지만 아무리 그래도 흥미면에서 많이 떨어지지않았나.. 
10,"질문하지 못하고 직접 삶의 문제를 마주해온 외로운 청년 종수, 주어진 좋은환경에 눈물흘릴 필요없이 즐기며 살아온 벤.. 하지만 종수도 언제까지 참고 고뇌하지만은 않는다. 종수가 자신의 기억과 목격,상상을 통해 자기생..."
2,하품하는 소리 재미없다고 투덜대는 소리상영중에 나가는 소리 지루함을 이겨내지 못하고 잠들어 코고는 소리등 영화보다 관객들 반응이 더 꿀쨈이였다는ㅜㅜ? 
6,전 단순해서 그런지 무슨내용인가 했어요.시원한 한방을 기대하는 분은 비추일거 같아요대체적으로 난해했어요..배우분들 연기를 못해서가 아니라 내용이 쫌..전 그래요.. 
1,환불해주세요.... 
1,아.    길긴또 더럽게 길어.. 
1,이창동 감독이니 보러갔는데 별로임...취향이 안맞네여 
1,"이제까지 봐왔던 이창동 감독님 작품이라고 하기에는 너무 아쉬움. 그냥 하루키 감성. 배우들 때문에 영화 빛이 바랜건 사실 - 논란은 둘째치고 유아인 전종서는 너무 ""나 연기한다"" 이런 느낌. 보는내내 ..."
1,1점도 아깝네요... 
2,.... 할말을 잃었다 
1,이 영화를 끝까지 본 관객에게 칸은 상을 주어야 한다...!! 
1,불면증인데 꿀잠잤네요ㅋㅋㅋㅋ별하나도 아까운 영화 보면서 화가나네요 
1,일단 제가 이영화 보려고 비가추적추적오면서 나가기도싫은 이날씨에 나가서 이영화보려고 LF 스퀘어를 가서 동생들과 이런영화를 본거에 심히 인생을 되돌려보게 되는 영화다 보지마세요그냥 
1,불켜진뒤 관람객들 얼굴에 묻어나는 지루함과 당황함에 나는 1점준다 근 몇OO만에 돈아깝다 생각한 영화... 
1,여기알바생들인가... 난 그냥별로엿음 
2,영화끝나고 대마초를 피면 어떤 느낌일까라는 생각만드는 내용이네요 
2,노잼 진심으로 별 한개도 아깝다 
2,보고판단하시고 별로입니다 
1,지금보고잇는데.뭔내용인지.ㅡㅡ.평점에.속앗어.속앗어..절대보지아삼.개후회함..완전.극협.아우.돈아까비ㅡㅜ 
1,아~이것도 영화라고. ㅠㅠ 내가 미쳤지 
10,눈물 흘리지 않는 개츠비들과 태워지기만을 기다리고 있는 비닐하우스같은 젊은이들이 살아가는 세상 
1,이건 뭐...알바를 아직도 많이 쓰네... 
1,캐스팅과 감독만 보고 아무 정보 없이 기대하고 봤는데.. 솔직히  이게  뭔 이걸 좋다고 하는 건. 하.. 나만 이상한가 
1,하 걍 존나평점 안믿고싶으면 그냥 봐보세요한번..^^.뭐랄까..영화를보면 아그렇구나! 라고 연출을받아들이게되는데 이건 OO내가왜이걸듣고있지? 이런느낌인데 걍 보면알듯.. 
2,오늘 개봉인데 댓글 9시부터 쳐다네 참 알바들 무뇌들이가 조조봐도 9시 영화 시작이지 안끝난다 
2,"아주 평범한 일반인입니다.네이버평점을 많이참고하구요, 칸에다녀왔다해서 봤습니다한마디로 찜찜하고 안좋은 잔상만 기억되는제가 예술성이 부족한가봐요..내시간을 돌려달라.. "
1,뭘 말하고자 하는지 전혀 알 수가 없었다. 일반인이 이해하기 어려워야 호평받나보다.. 
1,1점도 아깝다.계연성 하나도없고우연의 연속성..참 
1,그냥 이창동 전작들 그대로...상업성 떨어짐... 
1,칸에서 호평받았다길래 기대했는데 별로였음.. 빛아인 어쩌고 하면서 무조건 별점 높게준 사람들은 영화 보기나 한건지.. 
1,일단 너무 재미가 없는걸.... 유아인 연기할 때 얼굴에 바람 엄청 들어간 느낌이다. 베테랑 때부터 이상한 버릇 든 거 같음. 
