score,review
7,침울한 분위기와 무겁고 강한 음악 속 리차드 기어의 침착한 악역은 정말 눈부시네 
7,브이의 쥴리엣 나옴 서비스씬도 있음 
7,한글제목때문에 영화반은 망친거 같다. 
8,제목과 내용이 일치하지 않음 
6,느슨하고 조잡하다 
9,예전에 극장에서 재밌게 본 영화.제목이 안 어울린다 
10,밋밋하고 둔탁하지만 계속 생각날거 같다 
7,리차드 기어의 보기 드문 악역 연기가 지렸음 
5,난해하고 다듬어지지않음 
7,보기 힘든 조합. 비열한 리차드 VS 호리호리한 앤디. 
7,이 시절에 스마트폰이나 CCTV가 발달했더라면 스토리가 만들어질 수 없었을터... 엔딩부분은 시간에 너무 쫓겨 급마무리되서 황당한 느낌마저.... 
10,SuugkguyTcut 
2,"반전도 없고, 긴장감도 없고, 엔딩도 열라 허무하고... "
10,결말이 허무해보이기도 하지만 여운도 남는다 리차드 기어의 악역 멋있고 신선하다! 
9,영화의 분위기가 맘에 들었다. 
10,앤디 가르시아!!!!!!! 
10,"OOO 전 영화, 그때 이 영화 본사람들 다들 죽인다고 그랬다우 "
3,느리다. 졸린다. 
7,"너무 지겹게 전개되더니만, 허무하게 끝나넹.. "
7,리차드 기어의 악역이 지나치다...... 
9,악마같은 그 남자의 유혹은 계속 된다 잘 다듬어진 범죄 드라마로 긴장감은 최고다 
8,볼만하다~ 내용이 뻔하지만 
9,"주연, 조연할거 없이 연기력 좋았고 극전개의 긴박함도 굿 "
10,분위기있는 남성적인 심리영화 
6,비리 경찰의 비참한 최후. 
10,"호화 배역, 긴장감 "
