score,review
10,"남의 역사라고 함부로 말하는 게 아님. 식민통치 132년, 1945년부터 학살140만명이상 "
9,나치한테 그렇게 당해놓고도 약소국에게는 잔인했던 그들. 
9,"프랑스인들이 예술을 사랑하는지는 모르겠으나, 양심적이지는 않았음을 알려주는 영화 "
10,'자유'의  항쟁과 투쟁의 외침은 여전히 유효하게 가슴을 울린다. 
9,"150년 이상 프랑스의 지배를 받았지만, 그래도 독립의 의지는 불타고 "
9,냉정하고 객관적인 시각이 마음에 든다. 선동적이라는 건 오해. 
10,민중은 억압이 뚜렷할 때에서야 행동하지만 혁명으로 이끌어는 건 전위조직이다. 
10,"자유,독립  .. 이것은 공짜가 아니다. "
9,정말 공정한 영화다. 
10,강자의 위선과 폭력에 대항한 약자들의 위대한 투쟁서사시. 
10,식민지 아픔을 겪은 한국인에겐 더없이 각별한 영화.  한국 항일투쟁을 다룬 기록영화도 조만간 나왔으면 싶지만 돈 안 되면 손도 안 대는 영화사들 때문에 기대난망. 
10,"엔딩에서 뭘 원하나,  -자유를 달라-  전율이... "
9,"20년만에 보는데도 다시금 화면에 빨려 들어가는, 힘이 넘치는 영화! "
10,너무나 좋은 영화... 몇OO 만에 한국 극장에 개봉성공! 
10,말이 필요없는 명작 중의 명작.. 이 영화를 재미로 평가하는 놈은 초딩이다. 
7,사실적이면서도 낮설지 않게 마음을 두드린다 
10,식민지 역사를 가지고 있는 한국이 꼭 봐야 할 민족 해방 영화의 교과서! 
9,겉으론 고상하고 고귀한듯 문명과 문화를 사랑하는 척하는 프랑스 이면의 짐승같은 제국주의 근성으로 알제리의 민초들을 탄압하지만 그 끈질긴 생명력에 결국 무릎을 꿇는다 2차대전 레지스탕스 출신이라는 매튜라는 대령놈 아주...
7,재연 수준에 머무르지만 날선 프로파간다 영화. 
10,이 영화가 곧 역사이고 실제 역사가 곧 치열한 투쟁이다. 
10,별 10개를 주고 싶은 영화. 자유는 거저 얻어지는 것이 아니다. 우리나라 독립도 외세가 아닌 우리 힘으로 얻었어야 했다. 
9,흥미진진해서 영화가 끝날 때 아쉬웠다... 
8,힘이 없는 민족의 미래는 없다.  스스로 힘을 길러야한다.  이영화가 말해준다. 
9,중립적인 시선이 좋았다1966년작품인데 굉장히잘만든거같다 
9,알제리 민중의 승리. 그래서 현재는? 
10,"지유에 대한 갈망, 민중 저항 혁명의 승리. 촬영,연기,연출,시나리오, 주제의식 어디하나 흠잡을 것이 없다.  리얼리즘의 극치다. 기념비적 영화다. "
10,문자 그대로 大作. 큰 스크린으로 보았다면 더 좋았을 것을 ㅠ 
9,명작에는 그만한 이유가 영화속에 있다 
8,언제나 가해자는 피해자들에게 전도된 도덕적 판단을 강요하기 마련이다. 
10,탄탄한 짜임새와 사실성에 만점..(지단이 이영화를 봤을까?ㅋㅋ) 
8,어떤 영화보다 강한 눈빛으로 모든 걸 말한다. 
10,'찬사의 글'을 덧 붙이는 것이 '실례가 된다'고 느낍니다. 
10,이 영화 정말 대단한 작품입니다. 꼭 한번 보시길 
10,이 영화를 보았다면 느낀점이 있어야 한다 
7,1956-1962년 프랑스로부터 알제리 독립운동...그 다큐멘터리같은 역사 
5,연기가 장난은 아니잖아 
4,그닥재미없다. 
5,"우리 항일항쟁에 비하면 프랑스는 신사,, 막판에 만세운동 같은데 우린 엄청 죽었지,, "
1,너무 어두침침하고 지루한 전개 
6,"60년대 영화로는 영화제 수상감이나, 현대 시각에선 시시한데 "
6,하여튼 영화제 수상작이라고 과대평가하는 평론가들 한심함. 
